index,q_full,q_index,item_text,index_item2
38,X3..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.þín.skipulagsheild.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Óstöðugleiki.í.efnahagsmálum.almennt..,X3,Óstöðugleiki í efnahagsmálum almennt,X3Óstöðugleiki í efnahagsmálum almennt
39,X3..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.þín.skipulagsheild.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Inngilding.jaðarsettra.hópa..,X3,Inngilding jaðarsettra hópa,X3Inngilding jaðarsettra hópa
40,X3..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.þín.skipulagsheild.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Samkeppni.við.aðra.afþreyingu..,X3,Samkeppni við aðra afþreyingu,X3Samkeppni við aðra afþreyingu
41,X3..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.þín.skipulagsheild.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Fámennið.á.Íslandi..,X3,Fámennið á Íslandi,X3Fámennið á Íslandi
42,X3..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.þín.skipulagsheild.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Gervigreind.,X3,Gervigreind,X3Gervigreind
43,X3..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.þín.skipulagsheild.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Margbreytileiki.í.starfsmannahópi..,X3,Margbreytileiki í starfsmannahópi,X3Margbreytileiki í starfsmannahópi
44,X3..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.þín.skipulagsheild.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Margbreytileiki.í.hópi.stjórnenda..,X3,Margbreytileiki í hópi stjórnenda,X3Margbreytileiki í hópi stjórnenda
45,X3..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.þín.skipulagsheild.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Margbreytileiki.í.hópi.gesta...áhorfenda...neytenda..,X3,Margbreytileiki í hópi gesta áhorfenda neytenda,X3Margbreytileiki í hópi gesta áhorfenda neytenda
46,X3..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.þín.skipulagsheild.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Breytingar.á.ráðuneyti.menningarmála.,X3,Breytingar á ráðuneyti menningarmála,X3Breytingar á ráðuneyti menningarmála
47,X4..Hver.eru.helstu.tækifærin.fyrir.þína.skipulagsheild.á.næstu.árum...Merkið.við.einn.valmöguleika.í.hverri.línu....Aðgangur.að.alþjóðlegum.mörkuðum..,X4,Aðgangur að alþjóðlegum mörkuðum,X4Aðgangur að alþjóðlegum mörkuðum
48,X4..Hver.eru.helstu.tækifærin.fyrir.þína.skipulagsheild.á.næstu.árum...Merkið.við.einn.valmöguleika.í.hverri.línu....Fjölgun.ferðamanna..,X4,Fjölgun ferðamanna,X4Fjölgun ferðamanna
49,X4..Hver.eru.helstu.tækifærin.fyrir.þína.skipulagsheild.á.næstu.árum...Merkið.við.einn.valmöguleika.í.hverri.línu....Netvæðing.upplýsinga.og.viðskipta..,X4,Netvæðing upplýsinga og viðskipta,X4Netvæðing upplýsinga og viðskipta
50,X4..Hver.eru.helstu.tækifærin.fyrir.þína.skipulagsheild.á.næstu.árum...Merkið.við.einn.valmöguleika.í.hverri.línu....Fjölgun.íbúa.á.Íslandi..,X4,Fjölgun íbúa á Íslandi,X4Fjölgun íbúa á Íslandi
51,X4..Hver.eru.helstu.tækifærin.fyrir.þína.skipulagsheild.á.næstu.árum...Merkið.við.einn.valmöguleika.í.hverri.línu....Samfélagsmiðlar..,X4,Samfélagsmiðlar,X4Samfélagsmiðlar
52,X4..Hver.eru.helstu.tækifærin.fyrir.þína.skipulagsheild.á.næstu.árum...Merkið.við.einn.valmöguleika.í.hverri.línu....Gervigreind..,X4,Gervigreind,X4Gervigreind
53,X4..Hver.eru.helstu.tækifærin.fyrir.þína.skipulagsheild.á.næstu.árum...Merkið.við.einn.valmöguleika.í.hverri.línu....Samlegðartækifæri...sameining..,X4,Samlegðartækifæri sameining,X4Samlegðartækifæri sameining
54,X4..Hver.eru.helstu.tækifærin.fyrir.þína.skipulagsheild.á.næstu.árum...Merkið.við.einn.valmöguleika.í.hverri.línu....Aðgengi.að.viðeigandi.hæfnisþróun.og...eða.símenntun..,X4,Aðgengi að viðeigandi hæfnisþróun og eða símenntun,X4Aðgengi að viðeigandi hæfnisþróun og eða símenntun
55,X4..Hver.eru.helstu.tækifærin.fyrir.þína.skipulagsheild.á.næstu.árum...Merkið.við.einn.valmöguleika.í.hverri.línu....Aðgengi.að.sérfræðingum.og.sérfræðiþekkingu..,X4,Aðgengi að sérfræðingum og sérfræðiþekkingu,X4Aðgengi að sérfræðingum og sérfræðiþekkingu
56,X4..Hver.eru.helstu.tækifærin.fyrir.þína.skipulagsheild.á.næstu.árum...Merkið.við.einn.valmöguleika.í.hverri.línu....Margbreytileiki.meðal.starfsfólks..,X4,Margbreytileiki meðal starfsfólks,X4Margbreytileiki meðal starfsfólks
57,X4..Hver.eru.helstu.tækifærin.fyrir.þína.skipulagsheild.á.næstu.árum...Merkið.við.einn.valmöguleika.í.hverri.línu....Margbreytileiki.meðal.stjórnenda.,X4,Margbreytileiki meðal stjórnenda,X4Margbreytileiki meðal stjórnenda
58,X4..Hver.eru.helstu.tækifærin.fyrir.þína.skipulagsheild.á.næstu.árum...Merkið.við.einn.valmöguleika.í.hverri.línu....Margbreytileiki.í.hópi.gesta...áhorfenda...neytenda.,X4,Margbreytileiki í hópi gesta áhorfenda neytenda,X4Margbreytileiki í hópi gesta áhorfenda neytenda
59,X5..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áhrif.COVID.19.faraldursins.á.reksturinn.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...COVID.19.faraldurinn.hefur.valdið.grundvallarbreytingum.í.rekstri.stofnunarinnar...,X5,COVID 19 faraldurinn hefur valdið grundvallarbreytingum í rekstri stofnunarinnar,X5COVID 19 faraldurinn hefur valdið grundvallarbreytingum í rekstri stofnunarinnar
60,X5..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áhrif.COVID.19.faraldursins.á.reksturinn.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Áhrifa.COVID.19.faraldursins.gætir.enn.í.mínum.rekstri...,X5,Áhrifa COVID 19 faraldursins gætir enn í mínum rekstri,X5Áhrifa COVID 19 faraldursins gætir enn í mínum rekstri
61,X5..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áhrif.COVID.19.faraldursins.á.reksturinn.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...COVID.19.hafði.neikvæð.áhrif.á.rekstur.minnar.skipulagsheildar...,X5,COVID 19 hafði neikvæð áhrif á rekstur minnar skipulagsheildar,X5COVID 19 hafði neikvæð áhrif á rekstur minnar skipulagsheildar
62,X5..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áhrif.COVID.19.faraldursins.á.reksturinn.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu....COVID.19.hafði.jákvæð.áhrif.á.rekstur.minnar.skipulagsheildar.......................,X5,COVID 19 hafði jákvæð áhrif á rekstur minnar skipulagsheildar,X5COVID 19 hafði jákvæð áhrif á rekstur minnar skipulagsheildar
63,X5..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áhrif.COVID.19.faraldursins.á.reksturinn.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Langtímaafleiðingar.COVID.19.faraldursins.hafa.ekki.komið.fyllilega.í.ljós.ennþá..,X5,Langtímaafleiðingar COVID 19 faraldursins hafa ekki komið fyllilega í ljós ennþá,X5Langtímaafleiðingar COVID 19 faraldursins hafa ekki komið fyllilega í ljós ennþá
64,X6..Hvaða.þættir.valda.þér.mestri.óvissu.í.rekstri.þinnar.skipulagsheildar..Merkið.við.einn.valmöguleika.í.hverri.línu...Fjárhagslegir.þættir.,X6,Fjárhagslegir þættir,X6Fjárhagslegir þættir
65,X6..Hvaða.þættir.valda.þér.mestri.óvissu.í.rekstri.þinnar.skipulagsheildar..Merkið.við.einn.valmöguleika.í.hverri.línu...Aðsókn...sala.,X6,Aðsókn sala,X6Aðsókn sala
66,X6..Hvaða.þættir.valda.þér.mestri.óvissu.í.rekstri.þinnar.skipulagsheildar..Merkið.við.einn.valmöguleika.í.hverri.línu...Listrænir.þættir.,X6,Listrænir þættir,X6Listrænir þættir
67,X6..Hvaða.þættir.valda.þér.mestri.óvissu.í.rekstri.þinnar.skipulagsheildar..Merkið.við.einn.valmöguleika.í.hverri.línu...Félagslegir.þættir.,X6,Félagslegir þættir,X6Félagslegir þættir
68,X6..Hvaða.þættir.valda.þér.mestri.óvissu.í.rekstri.þinnar.skipulagsheildar..Merkið.við.einn.valmöguleika.í.hverri.línu...Skortur.á.fólki.með.viðeigandi.hæfni.í.ákveðin.störf.,X6,Skortur á fólki með viðeigandi hæfni í ákveðin störf,X6Skortur á fólki með viðeigandi hæfni í ákveðin störf
69,X7..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.þína.skipulagsheild.og.starfsumhverfi..Merkið.við.einn.valmöguleika.í.hverri.línu......Mín.skipulagsheild.líður.fyrir.að.vera.of.smá......................,X7,Mín skipulagsheild líður fyrir að vera of smá,X7Mín skipulagsheild líður fyrir að vera of smá
70,X7..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.þína.skipulagsheild.og.starfsumhverfi..Merkið.við.einn.valmöguleika.í.hverri.línu.....Sameining.við.aðra.stofnun...stofnanir.væri.jákvæð.fyrir.mína.skipulagsheild..,X7,Sameining við aðra stofnun stofnanir væri jákvæð fyrir mína skipulagsheild,X7Sameining við aðra stofnun stofnanir væri jákvæð fyrir mína skipulagsheild
71,X7..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.þína.skipulagsheild.og.starfsumhverfi..Merkið.við.einn.valmöguleika.í.hverri.línu.....Starfsumhverfi.mitt.býður.uppá.nægilegan.faglegan.stuðning.,X7,Starfsumhverfi mitt býður uppá nægilegan faglegan stuðning,X7Starfsumhverfi mitt býður uppá nægilegan faglegan stuðning
72,X7..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.þína.skipulagsheild.og.starfsumhverfi..Merkið.við.einn.valmöguleika.í.hverri.línu.....Það.er.nauðsynlegt.að.menningarráðuneytið...opinber.stuðningskerfi.veiti.aukinn.faglegan.stuðning..,X7,Það er nauðsynlegt að menningarráðuneytið opinber stuðningskerfi veiti aukinn faglegan stuðning,X7Það er nauðsynlegt að menningarráðuneytið opinber stuðningskerfi veiti aukinn faglegan stuðning
73,X7..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.þína.skipulagsheild.og.starfsumhverfi..Merkið.við.einn.valmöguleika.í.hverri.línu.....Það.er.nauðsynlegt.að.stoðkerfið.í.mínum.geira.verði.eflt..,X7,Það er nauðsynlegt að stoðkerfið í mínum geira verði eflt,X7Það er nauðsynlegt að stoðkerfið í mínum geira verði eflt
74,X7..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.þína.skipulagsheild.og.starfsumhverfi..Merkið.við.einn.valmöguleika.í.hverri.línu.....Ég.tel.vera.fulla.þörf.á.að.stofna.sérstakt.menningarráðuneyti.,X7,Ég tel vera fulla þörf á að stofna sérstakt menningarráðuneyti,X7Ég tel vera fulla þörf á að stofna sérstakt menningarráðuneyti
75,X8..Hversu.mikla.eða.litla.telur.þú.eftirfarandi.ókosti.vera.við.fámenni.þar.sem.menningargeirinn.er.annars.vegar..Merkið.við.einn.valmöguleika.í.hverri.línu....Skortur.á.faglegri.umræðu..,X8,Skortur á faglegri umræðu,X8Skortur á faglegri umræðu
76,X8..Hversu.mikla.eða.litla.telur.þú.eftirfarandi.ókosti.vera.við.fámenni.þar.sem.menningargeirinn.er.annars.vegar..Merkið.við.einn.valmöguleika.í.hverri.línu....Skortur.á.faglegri.þekkingu..,X8,Skortur á faglegri þekkingu,X8Skortur á faglegri þekkingu
77,X8..Hversu.mikla.eða.litla.telur.þú.eftirfarandi.ókosti.vera.við.fámenni.þar.sem.menningargeirinn.er.annars.vegar..Merkið.við.einn.valmöguleika.í.hverri.línu....Skortur.á.heilbrigðri.samkeppni..,X8,Skortur á heilbrigðri samkeppni,X8Skortur á heilbrigðri samkeppni
78,X8..Hversu.mikla.eða.litla.telur.þú.eftirfarandi.ókosti.vera.við.fámenni.þar.sem.menningargeirinn.er.annars.vegar..Merkið.við.einn.valmöguleika.í.hverri.línu....Of.fáar.síur.milli.hugmyndar.og.framkvæmdar..,X8,Of fáar síur milli hugmyndar og framkvæmdar,X8Of fáar síur milli hugmyndar og framkvæmdar
79,X8..Hversu.mikla.eða.litla.telur.þú.eftirfarandi.ókosti.vera.við.fámenni.þar.sem.menningargeirinn.er.annars.vegar..Merkið.við.einn.valmöguleika.í.hverri.línu....Stofnanir.of.smáar.til.að.vera.hagkvæmar..,X8,Stofnanir of smáar til að vera hagkvæmar,X8Stofnanir of smáar til að vera hagkvæmar
80,X8..Hversu.mikla.eða.litla.telur.þú.eftirfarandi.ókosti.vera.við.fámenni.þar.sem.menningargeirinn.er.annars.vegar..Merkið.við.einn.valmöguleika.í.hverri.línu....Of.smár.markaður..,X8,Of smár markaður,X8Of smár markaður
81,X8..Hversu.mikla.eða.litla.telur.þú.eftirfarandi.ókosti.vera.við.fámenni.þar.sem.menningargeirinn.er.annars.vegar..Merkið.við.einn.valmöguleika.í.hverri.línu....Skortur.á.samstarfsvilja.milli.stofnana...fyrirtækja..,X8,Skortur á samstarfsvilja milli stofnana fyrirtækja,X8Skortur á samstarfsvilja milli stofnana fyrirtækja
82,X9..Hversu.mikla.eða.litla.telur.þú.eftirfarandi.kosti.vera.við.fámenni.þegar.menningargeirinn.er.annars.vegar..Merkið.við.einn.valmöguleika.í.hverri.línu..Allir.þekkja.alla.,X9,Allir þekkja alla,X9Allir þekkja alla
83,X9..Hversu.mikla.eða.litla.telur.þú.eftirfarandi.kosti.vera.við.fámenni.þegar.menningargeirinn.er.annars.vegar..Merkið.við.einn.valmöguleika.í.hverri.línu..Boðleiðir.stuttar.,X9,Boðleiðir stuttar,X9Boðleiðir stuttar
84,X9..Hversu.mikla.eða.litla.telur.þú.eftirfarandi.kosti.vera.við.fámenni.þegar.menningargeirinn.er.annars.vegar..Merkið.við.einn.valmöguleika.í.hverri.línu..Biðtími.stuttur.,X9,Biðtími stuttur,X9Biðtími stuttur
85,X9..Hversu.mikla.eða.litla.telur.þú.eftirfarandi.kosti.vera.við.fámenni.þegar.menningargeirinn.er.annars.vegar..Merkið.við.einn.valmöguleika.í.hverri.línu..Fáar.síur.milli.hugmyndar.og.framkvæmdar..,X9,Fáar síur milli hugmyndar og framkvæmdar,X9Fáar síur milli hugmyndar og framkvæmdar
86,X9..Hversu.mikla.eða.litla.telur.þú.eftirfarandi.kosti.vera.við.fámenni.þegar.menningargeirinn.er.annars.vegar..Merkið.við.einn.valmöguleika.í.hverri.línu..Stofnanir.smáar.og.liprar..,X9,Stofnanir smáar og liprar,X9Stofnanir smáar og liprar
87,X9..Hversu.mikla.eða.litla.telur.þú.eftirfarandi.kosti.vera.við.fámenni.þegar.menningargeirinn.er.annars.vegar..Merkið.við.einn.valmöguleika.í.hverri.línu..Mikill.samstarfsvilji.innan.geirans.,X9,Mikill samstarfsvilji innan geirans,X9Mikill samstarfsvilji innan geirans
88,X10..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.stjórnun.í.menningargeiranum..Merkið.við.einn.valmöguleika.í.hverri.línu...Stjórnun.í.menningargeiranum.er.meira.skapandi.en.önnur.stjórnun..,X10,Stjórnun í menningargeiranum er meira skapandi en önnur stjórnun,X10Stjórnun í menningargeiranum er meira skapandi en önnur stjórnun
89,X10..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.stjórnun.í.menningargeiranum..Merkið.við.einn.valmöguleika.í.hverri.línu...Fjármögnun.tekur.allt.of.mikinn.tíma.og.orku.í.minni.skipulagsheild..,X10,Fjármögnun tekur allt of mikinn tíma og orku í minni skipulagsheild,X10Fjármögnun tekur allt of mikinn tíma og orku í minni skipulagsheild
90,X10..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.stjórnun.í.menningargeiranum..Merkið.við.einn.valmöguleika.í.hverri.línu...Ég.fæ.nægileg.tækifæri.til.skapandi.hugsunar.í.mínu.starfi..,X10,Ég fæ nægileg tækifæri til skapandi hugsunar í mínu starfi,X10Ég fæ nægileg tækifæri til skapandi hugsunar í mínu starfi
